vendor,product_code,product_title_local,product_title_english,anwendung,spezies,zielprotein,packung,preis_eur,waehrung,lagerstatus,beschreibung,ce_ivd,research_only,country_market
NordAssay,NA-70126,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
BioGnostics,BG-23941,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
BioGnostics,BG-45212,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
BioGnostics,BG-69707,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-83518,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-41334,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
NordAssay,NA-77300,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-41730,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
BioGnostics,BG-61567,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-75076,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-30904,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-81036,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-69326,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-89393,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-29896,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
BioGnostics,BG-32660,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-34213,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-46237,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-74713,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-11479,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-10868,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
BioGnostics,BG-70390,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-96336,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
NordAssay,NA-63431,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-51156,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
BioGnostics,BG-87560,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-83623,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-69899,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
BioGnostics,BG-90826,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-10172,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-24789,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-12574,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-31036,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-43854,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-43480,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-68624,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-47932,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-40151,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-84537,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-58536,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-58116,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-44355,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
BioGnostics,BG-44593,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-53942,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-43005,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-43263,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-34760,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-71443,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-97120,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-96023,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-61800,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-31549,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-96803,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
NordAssay,NA-13362,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-85857,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-61374,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-96255,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-79171,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
BioGnostics,BG-56509,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-67073,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-50714,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-34589,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
BioGnostics,BG-53470,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-78429,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-91280,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-33053,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-82276,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-70547,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-16021,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-90821,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-54592,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-62298,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
BioGnostics,BG-53565,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-61477,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-37776,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
BioGnostics,BG-40679,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-81932,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-40825,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-55791,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
NordAssay,NA-98150,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
BioGnostics,BG-15554,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-67072,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
NordAssay,NA-92708,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-64552,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
BioGnostics,BG-14293,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-10115,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-25276,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-15820,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-58107,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
BioGnostics,BG-85313,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-37777,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-20251,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-42480,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-19367,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-98260,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
BioGnostics,BG-45605,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
BioGnostics,BG-63827,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-13470,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-70740,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
BioGnostics,BG-76725,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-17374,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-75730,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-61922,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-17738,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-85076,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-87756,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-27742,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-93542,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-58138,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-92732,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-70787,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-23048,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
NordAssay,NA-22300,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-45302,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-99292,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-27370,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-44016,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-51843,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
NordAssay,NA-89781,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-14019,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-82904,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-55992,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-96600,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
BioGnostics,BG-37833,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
BioGnostics,BG-43144,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-44922,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-35030,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-90068,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-99354,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-85871,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-72384,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-33461,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-63087,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-65345,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
BioGnostics,BG-17521,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-61221,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-30843,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-79672,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
NordAssay,NA-58723,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-61762,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
BioGnostics,BG-10595,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
